,,,,,,,,,,,,,,,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL
,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.01,,,100%,100%,90%,90%,80%,80%,70%,70%,60%,60%,50%,50%,40%,40%,30%,30%,20%,20%,10%,10%,5%,5%,1%,1%
"Instruction_Counts,Malware,56","(0.0, 0.0)","(0.657162631303072, 0.8348474085330964)","(0.6494269941002131, 0.5641473971307278)","(0.4026195902377367, 0.5738177619874477)","(0.4338076228275895, 0.612889513745904)","(0.5232085354626179, 0.6940694954246283)","(0.38303180783987034, 0.6167517017573119)","(0.4820918172597885, 0.664067730307579)","(0.6136983335018158, 0.5775841739028692)","(0.6045486748218536, 0.5400648601353168)","(0.41415303871035575, 0.6557486154139042)","(0.529907619766891, 0.6772767525166273)",,,0.000 ,0.000 ,0.657 ,0.835 ,0.649 ,0.564 ,0.403 ,0.574 ,0.434 ,0.613 ,0.523 ,0.694 ,0.383 ,0.617 ,0.482 ,0.664 ,0.614 ,0.578 ,0.605 ,0.540 ,0.414 ,0.656 ,0.530 ,0.677 
"Instruction_Counts,Malware,57","(0.0, 0.0)","(0.49746490782126784, 0.5946191750466824)","(0.7838060181587935, 0.5014180406928063)","(0.5002688014879823, 0.49629394207149746)","(0.594026038236916, 0.6911931863054633)","(0.6871990133076906, 0.591746075451374)","(0.8798464488238096, 0.5008522702381015)","(0.4991517521440983, 0.6889357443898916)","(0.4042509042657912, 0.40482873292639854)","(0.49688063487410544, 0.7821167608723044)","(0.6894862247630954, 0.500852275826037)","(0.5906225878745317, 0.783806006796658)",,,0.000 ,0.000 ,0.497 ,0.595 ,0.784 ,0.501 ,0.500 ,0.496 ,0.594 ,0.691 ,0.687 ,0.592 ,0.880 ,0.501 ,0.499 ,0.689 ,0.404 ,0.405 ,0.497 ,0.782 ,0.689 ,0.501 ,0.591 ,0.784 
"Instruction_Counts,Malware,58","(0.0, 0.0)","(0.9713196933269501, 0.687218327075243)","(0.9713269472122192, 0.8770039288327098)","(0.9713172793388367, 0.4093774164095521)","(0.971321302652359, 0.6872134866192937)","(0.9713261246681213, 0.6889172360301018)","(0.9713212966918945, 0.4014268983155489)","(0.9713317692279816, 0.49744640551507474)","(0.9713229179382324, 0.7804154202342033)","(0.9713245153427124, 0.30594820277765394)","(0.9713188886642456, 0.2156105112284422)","(0.9713205099105835, 0.5934860303997993)",,,0.000 ,0.000 ,0.971 ,0.687 ,0.971 ,0.877 ,0.971 ,0.409 ,0.971 ,0.687 ,0.971 ,0.689 ,0.971 ,0.401 ,0.971 ,0.497 ,0.971 ,0.780 ,0.971 ,0.306 ,0.971 ,0.216 ,0.971 ,0.593 
"Instruction_Counts,Malware,59","(0.0, 0.0)","(0.9179934978485107, 0.8348474085330964)","(0.9162559568881988, 0.5641473971307278)","(0.8179234892129899, 0.5738177619874477)","(0.8704883456230164, 0.612889513745904)","(0.8126770555973053, 0.6940694954246283)","(0.8631309628486633, 0.6167517017573119)","(0.8034927845001221, 0.664067730307579)","(0.7819083094596863, 0.5775841739028692)","(0.8075078845024108, 0.5400648601353168)","(0.8123438715934753, 0.6557486154139042)","(0.7910096943378448, 0.6772767525166273)",,,0.000 ,0.000 ,0.918 ,0.835 ,0.916 ,0.564 ,0.818 ,0.574 ,0.870 ,0.613 ,0.813 ,0.694 ,0.863 ,0.617 ,0.803 ,0.664 ,0.782 ,0.578 ,0.808 ,0.540 ,0.812 ,0.656 ,0.791 ,0.677 
"Instruction_Counts,Malware,60","(0.0, 0.0)","(0.9713237106800079, 0.5946191750466824)","(0.9713221073150635, 0.5014180406928063)","(0.9713293612003326, 0.49629394207149746)","(0.9713221073150635, 0.6911931863054633)","(0.9713204979896546, 0.591746075451374)","(0.9713156759738922, 0.5008522702381015)","(0.9713245332241058, 0.6889357443898916)","(0.9713245272636414, 0.40482873292639854)","(0.9713245272636414, 0.7821167608723044)","(0.9713237226009369, 0.500852275826037)","(0.9713325798511505, 0.783806006796658)",,,0.000 ,0.000 ,0.971 ,0.595 ,0.971 ,0.501 ,0.971 ,0.496 ,0.971 ,0.691 ,0.971 ,0.592 ,0.971 ,0.501 ,0.971 ,0.689 ,0.971 ,0.405 ,0.971 ,0.782 ,0.971 ,0.501 ,0.971 ,0.784 
"Instruction_Counts,Malware,61","(0.0, 0.0)","(0.87416463335976, 0.971321302652359)","(0.683256336953491, 0.9713188886642456)","(0.5951680401340127, 0.971322911977768)","(0.40540336109697817, 0.9713253319263458)","(0.6877840915694833, 0.9713213086128235)","(0.6872287888079882, 0.9713229179382324)","(0.6906201679259538, 0.9713221192359924)","(0.596307628788054, 0.9713140666484833)","(0.4076817151159048, 0.8775737285614014)","(0.39088816586881875, 0.6837931313551963)","(0.4957394437864423, 0.597442370094359)",,,0.000 ,0.000 ,0.874 ,0.971 ,0.683 ,0.971 ,0.595 ,0.971 ,0.405 ,0.971 ,0.688 ,0.971 ,0.687 ,0.971 ,0.691 ,0.971 ,0.596 ,0.971 ,0.408 ,0.878 ,0.391 ,0.684 ,0.496 ,0.597 
"Instruction_Counts,Malware,62","(0.0, 0.0)","(0.727863447368145, 0.9713253319263458)","(0.5514116037636996, 0.9713269412517548)","(0.8920575335621834, 0.9710396289825439)","(0.6519387364387512, 0.9710404336452484)","(0.8727433709427714, 0.9713293492794037)","(0.6733212068676948, 0.9662092745304107)","(0.5130512796342372, 0.947464108467102)","(0.681853587180376, 0.9690485894680023)","(0.5272872094064951, 0.6017214458435773)","(0.48552664965391157, 0.6999967820942402)","(0.4107576284557581, 0.6037068631500006)",,,0.000 ,0.000 ,0.728 ,0.971 ,0.551 ,0.971 ,0.892 ,0.971 ,0.652 ,0.971 ,0.873 ,0.971 ,0.673 ,0.966 ,0.513 ,0.947 ,0.682 ,0.969 ,0.527 ,0.602 ,0.486 ,0.700 ,0.411 ,0.604 
"Instruction_Counts,Malware,63","(0.0, 0.0)","(0.4991316279396414, 0.5951785018667579)","(0.5008337669074535, 0.49913405403494837)","(0.6894934730604291, 0.6866686567664146)","(0.4025391194038093, 0.5968870671465993)","(0.49516079798340795, 0.4980339027941227)","(0.5917847076430917, 0.49971671141684054)","(0.49971832036972047, 0.5923311591148377)","(0.5900753261521459, 0.6894910529255867)","(0.49687822088599204, 0.5923327742144465)","(0.6872207470238209, 0.5946030801162123)","(0.7832523254677654, 0.5053832434117794)",,,0.000 ,0.000 ,0.499 ,0.595 ,0.501 ,0.499 ,0.689 ,0.687 ,0.403 ,0.597 ,0.495 ,0.498 ,0.592 ,0.500 ,0.500 ,0.592 ,0.590 ,0.689 ,0.497 ,0.592 ,0.687 ,0.595 ,0.783 ,0.505 
"Instruction_Counts,Malware,64","(0.0, 0.0)","(0.9713196992874146, 0.971321302652359)","(0.971322113275528, 0.9713188886642456)","(0.971321314573288, 0.971322911977768)","(0.9713277578353882, 0.9713253319263458)","(0.9713245213031769, 0.9713213086128235)","(0.9713261365890503, 0.9713229179382324)","(0.9713221073150635, 0.9713221192359924)","(0.9713180899620056, 0.9713140666484833)","(0.9713237285614014, 0.8775737285614014)","(0.9713213086128235, 0.6837931313551963)","(0.971322101354599, 0.597442370094359)",,,0.000 ,0.000 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.878 ,0.971 ,0.684 ,0.971 ,0.597 
"Instruction_Counts,Malware,65","(0.0, 0.0)","(0.9713269293308258, 0.9713253319263458)","(0.970473051071167, 0.9713269412517548)","(0.9701849400997162, 0.9710396289825439)","(0.9707523167133332, 0.9710404336452484)","(0.971322113275528, 0.9713293492794037)","(0.9710412442684173, 0.9662092745304107)","(0.9713204979896546, 0.947464108467102)","(0.9713172852993012, 0.9690485894680023)","(0.9713229238986969, 0.6017214458435773)","(0.9707563519477844, 0.6999967820942402)","(0.9701881587505341, 0.6037068631500006)",,,0.000 ,0.000 ,0.971 ,0.971 ,0.970 ,0.971 ,0.970 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.966 ,0.971 ,0.947 ,0.971 ,0.969 ,0.971 ,0.602 ,0.971 ,0.700 ,0.970 ,0.604 
