,,,,,,,,,,,,,,,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL
,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.01,,,100%,100%,90%,90%,80%,80%,70%,70%,60%,60%,50%,50%,40%,40%,30%,30%,20%,20%,10%,10%,5%,5%,1%,1%
"Image_Classification,CWE,21_761","(0.4927272886037827, 0.48555195033550264)","(0.48912337720394133, 0.5126298725605011)","(0.49444804787635804, 0.45827922224998474)","(0.5180844217538834, 0.5109090894460678)","(0.4966883063316345, 0.4926298677921295)","(0.5288960933685303, 0.49844156503677367)","(0.5144155859947205, 0.5091558575630188)","(0.4837987095117569, 0.48019481003284453)","(0.5270454525947571, 0.4782792180776596)","(0.5398051977157593, 0.501655849814415)","(0.5179870098829269, 0.5418506562709808)","(0.521753242611885, 0.4801298648118973)",,,0.493 ,0.486 ,0.489 ,0.513 ,0.494 ,0.458 ,0.518 ,0.511 ,0.497 ,0.493 ,0.529 ,0.498 ,0.514 ,0.509 ,0.484 ,0.480 ,0.527 ,0.478 ,0.540 ,0.502 ,0.518 ,0.542 ,0.522 ,0.480 
"Image_Classification,CWE,21_78","(0.5269187182188034, 0.5014954954385757)","(0.47714018225669863, 0.5042882919311523)","(0.503157114982605, 0.4798918902873993)","(0.5024124294519424, 0.5297657698392868)","(0.5169873416423798, 0.48663062155246734)","(0.5000112175941467, 0.4892792791128159)","(0.4944222003221512, 0.475783771276474)","(0.5104587435722351, 0.5135855853557587)","(0.4983163237571716, 0.503963965177536)","(0.4897993266582489, 0.48780180513858795)","(0.5199737846851349, 0.5147747725248337)","(0.49174344837665557, 0.5148288398981095)",,,0.527 ,0.501 ,0.477 ,0.504 ,0.503 ,0.480 ,0.502 ,0.530 ,0.517 ,0.487 ,0.500 ,0.489 ,0.494 ,0.476 ,0.510 ,0.514 ,0.498 ,0.504 ,0.490 ,0.488 ,0.520 ,0.515 ,0.492 ,0.515 
"Image_Classification,CWE,21_789","(0.5160900920629501, 0.5014954954385757)","(0.45596396252512933, 0.5042882919311523)","(0.4880180239677429, 0.4798918902873993)","(0.5027207195758819, 0.5297657698392868)","(0.5647207200527191, 0.48663062155246734)","(0.5199639678001404, 0.4892792791128159)","(0.4946126103401184, 0.475783771276474)","(0.4986126095056534, 0.5135855853557587)","(0.5216756761074066, 0.503963965177536)","(0.5042162239551544, 0.48780180513858795)","(0.4799099057912827, 0.5147747725248337)","(0.49466665983200075, 0.5148288398981095)",,,0.516 ,0.501 ,0.456 ,0.504 ,0.488 ,0.480 ,0.503 ,0.530 ,0.565 ,0.487 ,0.520 ,0.489 ,0.495 ,0.476 ,0.499 ,0.514 ,0.522 ,0.504 ,0.504 ,0.488 ,0.480 ,0.515 ,0.495 ,0.515 
"Image_Classification,CWE,21_NEW_127","(0.47857142984867096, 0.42000000923871994)","(0.439285708963871, 0.5533333495259285)","(0.41964285373687743, 0.5466666802763939)","(0.47857142686843873, 0.40666667446494104)","(0.46071428507566453, 0.5200000122189522)","(0.5089285716414451, 0.5933333426713944)","(0.5303571432828903, 0.45333334505558015)","(0.4428571477532387, 0.39333334416151045)","(0.5232142895460129, 0.4866666793823242)","(0.5232142874971032, 0.4866666838526726)","(0.5196428626775742, 0.5733333453536034)","(0.48928572088479994, 0.5866666860878468)",,,0.479 ,0.420 ,0.439 ,0.553 ,0.420 ,0.547 ,0.479 ,0.407 ,0.461 ,0.520 ,0.509 ,0.593 ,0.530 ,0.453 ,0.443 ,0.393 ,0.523 ,0.487 ,0.523 ,0.487 ,0.520 ,0.573 ,0.489 ,0.587 
"Image_Classification,CWE,21_NEW_190","(0.5666666805744172, 0.42000000923871994)","(0.48000000789761543, 0.5533333495259285)","(0.6466666758060455, 0.5466666802763939)","(0.5000000119209289, 0.40666667446494104)","(0.5200000107288361, 0.5200000122189522)","(0.566666679084301, 0.5933333426713944)","(0.39333334416151045, 0.45333334505558015)","(0.4600000113248825, 0.39333334416151045)","(0.5066666811704635, 0.4866666793823242)","(0.6000000089406967, 0.4866666838526726)","(0.5733333498239517, 0.5733333453536034)","(0.4133333444595337, 0.5866666860878468)",,,0.567 ,0.420 ,0.480 ,0.553 ,0.647 ,0.547 ,0.500 ,0.407 ,0.520 ,0.520 ,0.567 ,0.593 ,0.393 ,0.453 ,0.460 ,0.393 ,0.507 ,0.487 ,0.600 ,0.487 ,0.573 ,0.573 ,0.413 ,0.587 
"Image_Classification,CWE,21_NEW_476","(0.5077777847647666, 0.5188888885080815)","(0.5811111152172088, 0.4844444438815117)","(0.5600000068545341, 0.41555556282401085)","(0.5666666731238366, 0.5144444517791271)","(0.6277777805924416, 0.4666666701436043)","(0.5444444552063942, 0.552222229540348)","(0.5344444558024406, 0.5522222220897675)","(0.47000000700354577, 0.5166666716337204)","(0.28222223073244096, 0.5366666793823243)","(0.48111111894249914, 0.6666666775941849)","(0.664444451034069, 0.5477777920663357)","(0.6088888972997666, 0.5544444501399994)",,,0.508 ,0.519 ,0.581 ,0.484 ,0.560 ,0.416 ,0.567 ,0.514 ,0.628 ,0.467 ,0.544 ,0.552 ,0.534 ,0.552 ,0.470 ,0.517 ,0.282 ,0.537 ,0.481 ,0.667 ,0.664 ,0.548 ,0.609 ,0.554 
"Image_Classification,CWE,22_121","(0.0, 0.0)","(0.5000732719898224, 0.8013797402381897)","(0.5000000119209289, 0.8453846126794815)","(0.5000732749700546, 0.7422100126743316)","(0.5000732809305191, 0.7124420136213303)","(0.4999145448207855, 0.7353479951620102)","(0.5000854849815368, 0.5905128329992294)","(0.5000244289636612, 0.601770457625389)","(0.5000488489866257, 0.6173382312059402)","(0.5000854820013046, 0.6932967096567154)","(0.5000732719898224, 0.515140426158905)","(0.5000732719898224, 0.5047008663415908)",,,0.000 ,0.000 ,0.500 ,0.801 ,0.500 ,0.845 ,0.500 ,0.742 ,0.500 ,0.712 ,0.500 ,0.735 ,0.500 ,0.591 ,0.500 ,0.602 ,0.500 ,0.617 ,0.500 ,0.693 ,0.500 ,0.515 ,0.500 ,0.505 
"Image_Classification,CWE,22_122","(0.0, 0.0)","(0.49999999403953554, 0.9865789413452148)","(0.5000000029802323, 0.8336842000484467)","(0.5000000029802323, 0.9802631616592408)","(0.5000000059604645, 0.9763157844543457)","(0.5000000059604645, 0.8907894790172577)","(0.5, 0.7447368383407593)","(0.5000000059604645, 0.9063157856464386)","(0.5000000089406967, 0.7260526299476624)","(0.5000000089406967, 0.6442105293273925)","(0.5000000029802323, 0.6807894706726074)","(0.5000000029802323, 0.5897368518635631)",,,0.000 ,0.000 ,0.500 ,0.987 ,0.500 ,0.834 ,0.500 ,0.980 ,0.500 ,0.976 ,0.500 ,0.891 ,0.500 ,0.745 ,0.500 ,0.906 ,0.500 ,0.726 ,0.500 ,0.644 ,0.500 ,0.681 ,0.500 ,0.590 
"Image_Classification,CWE,22_124","(0.0, 0.0)","(0.5000000029802323, 0.757142859697342)","(0.5000000059604645, 0.8125000059604645)","(0.5000000089406967, 0.6517857074737549)","(0.49999999403953554, 0.6374999970197678)","(0.5000000059604645, 0.7392857193946838)","(0.49999999403953554, 0.7714285731315613)","(0.5, 0.6357142806053162)","(0.5000000029802323, 0.6821428596973419)","(0.5000000059604645, 0.5803571470081806)","(0.5000000089406967, 0.5107142888009548)","(0.5000000178813935, 0.441071429848671)",,,0.000 ,0.000 ,0.500 ,0.757 ,0.500 ,0.813 ,0.500 ,0.652 ,0.500 ,0.637 ,0.500 ,0.739 ,0.500 ,0.771 ,0.500 ,0.636 ,0.500 ,0.682 ,0.500 ,0.580 ,0.500 ,0.511 ,0.500 ,0.441 
"Image_Classification,CWE,22_126","(0.0, 0.0)","(0.49973262548446656, 0.6813725531101227)","(0.5004456460475921, 0.6614081978797912)","(0.4999108761548996, 0.6459001779556275)","(0.5003565132617951, 0.755614984035492)","(0.5003565132617951, 0.6541889488697052)","(0.49964349865913393, 0.6682709485292435)","(0.4998217523097992, 0.6349376201629638)","(0.5002673894166947, 0.6106060713529586)","(0.498930487036705, 0.5730837836861611)","(0.49955437779426576, 0.5746880680322647)","(0.5000000059604645, 0.4913547307252884)",,,0.000 ,0.000 ,0.500 ,0.681 ,0.500 ,0.661 ,0.500 ,0.646 ,0.500 ,0.756 ,0.500 ,0.654 ,0.500 ,0.668 ,0.500 ,0.635 ,0.500 ,0.611 ,0.499 ,0.573 ,0.500 ,0.575 ,0.500 ,0.491 
"Image_Classification,CWE,22_127","(0.0, 0.0)","(0.5000000119209289, 0.7982142835855484)","(0.5000000029802323, 0.6839285731315613)","(0.4999999970197678, 0.6160714238882065)","(0.5000000059604645, 0.7910714328289032)","(0.5000000089406967, 0.6107142895460129)","(0.5000000029802323, 0.6446428567171096)","(0.5000000119209289, 0.5785714358091354)","(0.5000000059604645, 0.5499999962747097)","(0.5000000089406967, 0.5017857179045677)","(0.49999999105930326, 0.5732142835855484)","(0.49999999403953554, 0.5732142925262451)",,,0.000 ,0.000 ,0.500 ,0.798 ,0.500 ,0.684 ,0.500 ,0.616 ,0.500 ,0.791 ,0.500 ,0.611 ,0.500 ,0.645 ,0.500 ,0.579 ,0.500 ,0.550 ,0.500 ,0.502 ,0.500 ,0.573 ,0.500 ,0.573 
"Image_Classification,CWE,22_134","(0.0, 0.0)","(0.5, 0.6783783793449402)","(0.5, 0.5702702671289444)","(0.5, 0.5729729771614075)","(0.5, 0.6567567557096481)","(0.49999999403953554, 0.6108108073472976)","(0.5, 0.47567567229270935)","(0.5000000029802323, 0.540540537238121)","(0.4999999970197678, 0.6135135114192962)","(0.49999999403953554, 0.46756756901741026)","(0.49999999105930326, 0.5756756722927093)","(0.5, 0.5027027040719986)",,,0.000 ,0.000 ,0.500 ,0.678 ,0.500 ,0.570 ,0.500 ,0.573 ,0.500 ,0.657 ,0.500 ,0.611 ,0.500 ,0.476 ,0.500 ,0.541 ,0.500 ,0.614 ,0.500 ,0.468 ,0.500 ,0.576 ,0.500 ,0.503 
"Image_Classification,CWE,22_190","(0.0, 0.0)","(0.9400000035762787, 0.6200000137090683)","(0.946666669845581, 0.5600000128149987)","(0.9333333373069763, 0.5733333438634872)","(0.9400000035762787, 0.47333334684371947)","(0.9400000035762787, 0.6333333492279053)","(0.9400000035762787, 0.6000000089406967)","(0.9333333373069763, 0.6733333498239518)","(0.9133333384990692, 0.48666668087244036)","(0.9333333373069763, 0.526666684448719)","(0.9400000035762787, 0.5066666796803474)","(0.926666671037674, 0.54666668176651)",,,0.000 ,0.000 ,0.940 ,0.620 ,0.947 ,0.560 ,0.933 ,0.573 ,0.940 ,0.473 ,0.940 ,0.633 ,0.940 ,0.600 ,0.933 ,0.673 ,0.913 ,0.487 ,0.933 ,0.527 ,0.940 ,0.507 ,0.927 ,0.547 
"Image_Classification,CWE,22_476","(0.0, 0.0)","(0.9177777767181396, 0.6711111158132553)","(0.9188888847827912, 0.6533333420753479)","(0.9066666722297668, 0.544444453716278)","(0.8933333337306977, 0.5655555546283721)","(0.9044444501399994, 0.5477777883410454)","(0.9144444406032562, 0.5544444561004639)","(0.904444444179535, 0.47444445490837095)","(0.9055555582046508, 0.5044444479048252)","(0.8944444477558136, 0.5133333414793014)","(0.8966666638851166, 0.5722222313284874)","(0.8266666620969773, 0.5311111211776733)",,,0.000 ,0.000 ,0.918 ,0.671 ,0.919 ,0.653 ,0.907 ,0.544 ,0.893 ,0.566 ,0.904 ,0.548 ,0.914 ,0.554 ,0.904 ,0.474 ,0.906 ,0.504 ,0.894 ,0.513 ,0.897 ,0.572 ,0.827 ,0.531 
"Image_Classification,CWE,22_479","(0.0, 0.0)","(0.4833333373069763, 0.5416666686534881)","(0.4833333373069763, 0.4916666686534882)","(0.5000000029802323, 0.7833333373069763)","(0.4916666716337204, 0.5166666686534882)","(0.46666666865348816, 0.6083333373069764)","(0.4916666716337204, 0.33333333730697634)","(0.47500000298023226, 0.6000000059604644)","(0.4916666686534882, 0.4333333373069763)","(0.4916666716337204, 0.5250000029802322)","(0.5083333373069763, 0.4250000029802322)","(0.5000000059604645, 0.5750000029802322)",,,0.000 ,0.000 ,0.483 ,0.542 ,0.483 ,0.492 ,0.500 ,0.783 ,0.492 ,0.517 ,0.467 ,0.608 ,0.492 ,0.333 ,0.475 ,0.600 ,0.492 ,0.433 ,0.492 ,0.525 ,0.508 ,0.425 ,0.500 ,0.575 
"Image_Classification,CWE,22_680","(0.0, 0.0)","(0.49987684190273285, 0.9909982204437255)","(0.49999999403953554, 0.8365418881177902)","(0.5002463042736054, 0.839037436246872)","(0.500369456410408, 0.7491978585720063)","(0.5004926145076751, 0.7292335122823715)","(0.500369456410408, 0.6700534820556641)","(0.4999999970197678, 0.5725490272045135)","(0.5001231461763382, 0.5154189050197602)","(0.5002463072538376, 0.5178253173828125)","(0.5004926055669785, 0.6240641713142395)","(0.49975368976593015, 0.5461675643920898)",,,0.000 ,0.000 ,0.500 ,0.991 ,0.500 ,0.837 ,0.500 ,0.839 ,0.500 ,0.749 ,0.500 ,0.729 ,0.500 ,0.670 ,0.500 ,0.573 ,0.500 ,0.515 ,0.500 ,0.518 ,0.500 ,0.624 ,0.500 ,0.546 
"Image_Classification,CWE,22_758","(0.0, 0.0)","(0.9595282196998596, 0.6792321890592575)","(0.9380203604698181, 0.6820074021816254)","(0.9401942729949951, 0.5979648500680923)","(0.9424144387245178, 0.6361239582300187)","(0.9338112950325013, 0.6915356189012527)","(0.9381591200828552, 0.711609622836113)","(0.8996299803256989, 0.6857076764106751)","(0.8889454305171967, 0.464061057753861)","(0.8953746676445007, 0.5811748325824737)","(0.9017576456069947, 0.6035152673721313)","(0.8867715179920197, 0.49065679907798765)",,,0.000 ,0.000 ,0.960 ,0.679 ,0.938 ,0.682 ,0.940 ,0.598 ,0.942 ,0.636 ,0.934 ,0.692 ,0.938 ,0.712 ,0.900 ,0.686 ,0.889 ,0.464 ,0.895 ,0.581 ,0.902 ,0.604 ,0.887 ,0.491 
"Image_Classification,CWE,22_761","(0.0, 0.0)","(0.49993506669998167, 0.6098701238632203)","(0.5001948028802872, 0.6613311737775802)","(0.5000324606895447, 0.6939610362052917)","(0.5000000089406967, 0.6723701238632203)","(0.5000649273395539, 0.6305519580841065)","(0.5000000029802323, 0.5363961070775985)","(0.49996753633022306, 0.4544155940413475)","(0.49990259408950805, 0.5756493598222733)","(0.5001948148012161, 0.47675325274467467)","(0.4999026030302048, 0.5017532497644425)","(0.5000324755907058, 0.4822727367281914)",,,0.000 ,0.000 ,0.500 ,0.610 ,0.500 ,0.661 ,0.500 ,0.694 ,0.500 ,0.672 ,0.500 ,0.631 ,0.500 ,0.536 ,0.500 ,0.454 ,0.500 ,0.576 ,0.500 ,0.477 ,0.500 ,0.502 ,0.500 ,0.482 
"Image_Classification,CWE,22_78","(0.0, 0.0)","(0.999513977766037, 0.6972252309322358)","(0.9992712616920472, 0.6677657753229141)","(0.9985413312911987, 0.6891351401805877)","(0.9980547189712524, 0.6531891882419586)","(0.9980564832687377, 0.5584324300289154)","(0.996839952468872, 0.6062702775001526)","(0.9895442068576813, 0.5619639605283737)","(0.977400028705597, 0.6660540521144866)","(0.9513842582702636, 0.6355495452880859)","(0.9214926838874817, 0.47045045495033266)","(0.9074008345603943, 0.5707387417554856)",,,0.000 ,0.000 ,1.000 ,0.697 ,0.999 ,0.668 ,0.999 ,0.689 ,0.998 ,0.653 ,0.998 ,0.558 ,0.997 ,0.606 ,0.990 ,0.562 ,0.977 ,0.666 ,0.951 ,0.636 ,0.921 ,0.470 ,0.907 ,0.571 
"Image_Classification,CWE,23_190","(0.0, 0.0)","(0.7800000101327896, 0.6733333468437195)","(0.6266666740179062, 0.5600000143051147)","(0.5266666777431965, 0.5466666758060456)","(0.6533333495259285, 0.633333346247673)","(0.3066666781902313, 0.4800000056624413)","(0.5133333444595337, 0.6066666796803475)","(0.4000000111758709, 0.6800000131130218)","(0.2333333410322666, 0.49333334639668464)","(0.2133333422243595, 0.5800000131130219)","(0.306666673719883, 0.4066666796803474)","(0.5733333483338356, 0.4733333483338356)",,,0.000 ,0.000 ,0.780 ,0.673 ,0.627 ,0.560 ,0.527 ,0.547 ,0.653 ,0.633 ,0.307 ,0.480 ,0.513 ,0.607 ,0.400 ,0.680 ,0.233 ,0.493 ,0.213 ,0.580 ,0.307 ,0.407 ,0.573 ,0.473 
"Image_Classification,CWE,24_121","(0.4999023348093033, 0.498888897895813)","(0.5000244289636612, 0.5045421272516251)","(0.5000610679388047, 0.5011721730232239)","(0.5000244319438935, 0.47339439392089844)","(0.4998657047748566, 0.49000000953674316)","(0.500036644935608, 0.5265079528093338)","(0.49991453588008883, 0.5341269999742508)","(0.5001221090555191, 0.5010744899511337)","(0.5001343160867691, 0.5043223589658737)","(0.5000366389751434, 0.48901099562644956)","(0.5000244349241256, 0.4821489691734314)","(0.49998779892921447, 0.5163980603218079)",,,0.500 ,0.499 ,0.500 ,0.505 ,0.500 ,0.501 ,0.500 ,0.473 ,0.500 ,0.490 ,0.500 ,0.527 ,0.500 ,0.534 ,0.500 ,0.501 ,0.500 ,0.504 ,0.500 ,0.489 ,0.500 ,0.482 ,0.500 ,0.516 
"Image_Classification,CWE,24_122","(0.5000000029802323, 0.5057894736528397)","(0.5, 0.5097368478775024)","(0.5, 0.5023684233427048)","(0.5000000029802323, 0.5005263239145279)","(0.5, 0.4984210550785065)","(0.5000000059604645, 0.4965789496898651)","(0.5000000089406967, 0.49289473295211794)","(0.5, 0.5005263149738312)","(0.5000000029802323, 0.5068421095609665)","(0.5000000059604645, 0.5194736868143082)","(0.5000000059604645, 0.4936842083930969)","(0.5000000029802323, 0.5015789479017257)",,,0.500 ,0.506 ,0.500 ,0.510 ,0.500 ,0.502 ,0.500 ,0.501 ,0.500 ,0.498 ,0.500 ,0.497 ,0.500 ,0.493 ,0.500 ,0.501 ,0.500 ,0.507 ,0.500 ,0.519 ,0.500 ,0.494 ,0.500 ,0.502 
"Image_Classification,CWE,24_126","(0.5000891387462616, 0.4699643611907959)","(0.5003565162420273, 0.46693405210971833)","(0.49955437481403353, 0.4942067861557007)","(0.5005347728729248, 0.5182709515094757)","(0.4998217523097992, 0.4996435046195984)","(0.4991978704929352, 0.5623885959386825)","(0.49964350163936616, 0.5121212124824523)","(0.49991088509559634, 0.4768270969390869)","(0.5003565102815628, 0.4733511656522751)","(0.500178262591362, 0.5024955481290817)","(0.4993761271238327, 0.5331550866365433)","(0.4999108761548996, 0.4557041049003601)",,,0.500 ,0.470 ,0.500 ,0.467 ,0.500 ,0.494 ,0.501 ,0.518 ,0.500 ,0.500 ,0.499 ,0.562 ,0.500 ,0.512 ,0.500 ,0.477 ,0.500 ,0.473 ,0.500 ,0.502 ,0.499 ,0.533 ,0.500 ,0.456 
"Image_Classification,CWE,24_127","(0.5000000119209289, 0.48928571343421934)","(0.49999999403953554, 0.5142857134342194)","(0.5000000029802323, 0.5178571552038193)","(0.49999999403953554, 0.5178571552038193)","(0.4999999970197678, 0.5071428537368774)","(0.5000000089406967, 0.4589285790920258)","(0.5000000029802323, 0.5285714387893676)","(0.5000000089406967, 0.4821428507566452)","(0.5000000089406967, 0.496428570151329)","(0.5000000119209289, 0.5035714358091354)","(0.5000000029802323, 0.5196428626775742)","(0.5000000029802323, 0.5392857134342194)",,,0.500 ,0.489 ,0.500 ,0.514 ,0.500 ,0.518 ,0.500 ,0.518 ,0.500 ,0.507 ,0.500 ,0.459 ,0.500 ,0.529 ,0.500 ,0.482 ,0.500 ,0.496 ,0.500 ,0.504 ,0.500 ,0.520 ,0.500 ,0.539 
"Image_Classification,CWE,24_190","(0.5000000149011612, 0.42000000923871994)","(0.5000000178813935, 0.5533333495259285)","(0.5000000149011612, 0.5466666802763939)","(0.5000000178813935, 0.40666667446494104)","(0.5000000178813935, 0.5200000122189522)","(0.5000000149011612, 0.5933333426713944)","(0.5000000149011612, 0.45333334505558015)","(0.5000000178813935, 0.39333334416151045)","(0.5000000119209289, 0.4866666793823242)","(0.500000013411045, 0.4866666838526726)","(0.5000000149011612, 0.5733333453536034)","(0.5000000178813935, 0.5866666860878468)",,,0.500 ,0.420 ,0.500 ,0.553 ,0.500 ,0.547 ,0.500 ,0.407 ,0.500 ,0.520 ,0.500 ,0.593 ,0.500 ,0.453 ,0.500 ,0.393 ,0.500 ,0.487 ,0.500 ,0.487 ,0.500 ,0.573 ,0.500 ,0.587 
"Image_Classification,CWE,24_476","(0.49777778685092927, 0.5722222298383712)","(0.5000000089406967, 0.4077777862548828)","(0.5000000044703483, 0.3344444543123245)","(0.49777778536081313, 0.45888889878988265)","(0.500000013411045, 0.5622222334146499)","(0.5000000104308129, 0.5511111199855805)","(0.4944444462656975, 0.5211111187934876)","(0.4966666743159294, 0.42444445192813873)","(0.5011111244559288, 0.5022222310304642)","(0.5022222369909286, 0.4388889014720917)","(0.5011111229658127, 0.41555555909872055)","(0.5055555701255798, 0.5433333486318588)",,,0.498 ,0.572 ,0.500 ,0.408 ,0.500 ,0.334 ,0.498 ,0.459 ,0.500 ,0.562 ,0.500 ,0.551 ,0.494 ,0.521 ,0.497 ,0.424 ,0.501 ,0.502 ,0.502 ,0.439 ,0.501 ,0.416 ,0.506 ,0.543 
"Image_Classification,CWE,24_680","(0.5003694504499435, 0.5103448241949081)","(0.4992610841989517, 0.49667487740516664)","(0.49913792610168456, 0.5040640324354172)","(0.5004926055669785, 0.48977832198143006)","(0.5002463042736054, 0.4623152673244476)","(0.49926107823848725, 0.5178571403026581)","(0.4998768448829651, 0.4681034415960312)","(0.4999999970197678, 0.4966748714447021)","(0.49975368976593015, 0.48263545632362365)","(0.49999999403953554, 0.5073891520500183)","(0.4992610841989517, 0.5071428567171097)","(0.500369456410408, 0.520689657330513)",,,0.500 ,0.510 ,0.499 ,0.497 ,0.499 ,0.504 ,0.500 ,0.490 ,0.500 ,0.462 ,0.499 ,0.518 ,0.500 ,0.468 ,0.500 ,0.497 ,0.500 ,0.483 ,0.500 ,0.507 ,0.499 ,0.507 ,0.500 ,0.521 
"Image_Classification,CWE,24_758","(0.49990748763084414, 0.4764569878578186)","(0.49995374381542207, 0.5061054557561875)","(0.4998612403869629, 0.4678538411855698)","(0.5000462532043457, 0.4549953699111938)","(0.5002312600612641, 0.5086031436920166)","(0.49976873099803926, 0.517298799753189)","(0.5001387596130371, 0.5105920404195785)","(0.4995837152004242, 0.5083718746900558)","(0.5000462532043457, 0.4807123064994812)","(0.49981498420238496, 0.455180387198925)","(0.5000462532043457, 0.46780758798122407)","(0.49981498420238496, 0.5339962929487229)",,,0.500 ,0.476 ,0.500 ,0.506 ,0.500 ,0.468 ,0.500 ,0.455 ,0.500 ,0.509 ,0.500 ,0.517 ,0.500 ,0.511 ,0.500 ,0.508 ,0.500 ,0.481 ,0.500 ,0.455 ,0.500 ,0.468 ,0.500 ,0.534 
"Image_Classification,CWE,24_761","(0.5000649452209472, 0.48555195033550264)","(0.5000324815511703, 0.5126298725605011)","(0.5001948028802872, 0.45827922224998474)","(0.5001298695802688, 0.5109090894460678)","(0.4998701274394989, 0.4926298677921295)","(0.49996753334999083, 0.49844156503677367)","(0.5001298755407333, 0.5091558575630188)","(0.4999999970197678, 0.48019481003284453)","(0.5000000089406967, 0.4782792180776596)","(0.49990261197090147, 0.501655849814415)","(0.499740269780159, 0.5418506562709808)","(0.5000974059104919, 0.4801298648118973)",,,0.500 ,0.486 ,0.500 ,0.513 ,0.500 ,0.458 ,0.500 ,0.511 ,0.500 ,0.493 ,0.500 ,0.498 ,0.500 ,0.509 ,0.500 ,0.480 ,0.500 ,0.478 ,0.500 ,0.502 ,0.500 ,0.542 ,0.500 ,0.480 
"Image_Classification,CWE,24_78","(0.49999705255031585, 0.5014954954385757)","(0.4999899595975876, 0.5042882919311523)","(0.5000118046998978, 0.4798918902873993)","(0.5000059068202972, 0.5297657698392868)","(0.5000070840120315, 0.48663062155246734)","(0.5000029534101487, 0.4892792791128159)","(0.49999291598796847, 0.475783771276474)","(0.4999994099140167, 0.5135855853557587)","(0.5000070929527283, 0.503963965177536)","(0.5000053167343139, 0.48780180513858795)","(0.5000129908323288, 0.5147747725248337)","(0.5000047266483307, 0.5148288398981095)",,,0.500 ,0.501 ,0.500 ,0.504 ,0.500 ,0.480 ,0.500 ,0.530 ,0.500 ,0.487 ,0.500 ,0.489 ,0.500 ,0.476 ,0.500 ,0.514 ,0.500 ,0.504 ,0.500 ,0.488 ,0.500 ,0.515 ,0.500 ,0.515 
"Image_Classification,CWE,24_NEW_190","(0.473333352804184, 0.42000000923871994)","(0.4733333498239517, 0.5533333495259285)","(0.4733333483338356, 0.5466666802763939)","(0.4733333393931389, 0.40666667446494104)","(0.47333334386348724, 0.5200000122189522)","(0.47333334684371947, 0.5933333426713944)","(0.4733333498239517, 0.45333334505558015)","(0.4733333483338356, 0.39333334416151045)","(0.47333334386348724, 0.4866666793823242)","(0.4733333483338356, 0.4866666838526726)","(0.47333334386348724, 0.5733333453536034)","(0.4733333498239517, 0.5866666860878468)",,,0.473 ,0.420 ,0.473 ,0.553 ,0.473 ,0.547 ,0.473 ,0.407 ,0.473 ,0.520 ,0.473 ,0.593 ,0.473 ,0.453 ,0.473 ,0.393 ,0.473 ,0.487 ,0.473 ,0.487 ,0.473 ,0.573 ,0.473 ,0.587 
"Image_Classification,CWE,24_NEW_476","(0.47555556446313857, 0.5188888885080815)","(0.4777777805924416, 0.4844444438815117)","(0.4800000101327896, 0.41555556282401085)","(0.4822222277522087, 0.5144444517791271)","(0.48000000715255736, 0.4666666701436043)","(0.48000001162290573, 0.552222229540348)","(0.4800000056624413, 0.5522222220897675)","(0.47666667848825456, 0.5166666716337204)","(0.48111112266778944, 0.5366666793823243)","(0.4822222299873829, 0.6666666775941849)","(0.48111112266778944, 0.5477777920663357)","(0.48555556535720823, 0.5544444501399994)",,,0.476 ,0.519 ,0.478 ,0.484 ,0.480 ,0.416 ,0.482 ,0.514 ,0.480 ,0.467 ,0.480 ,0.552 ,0.480 ,0.552 ,0.477 ,0.517 ,0.481 ,0.537 ,0.482 ,0.667 ,0.481 ,0.548 ,0.486 ,0.554 
"Image_Classification,CWE,25_121","(0.0, 0.0)","(0.5558119773864746, 0.9922954797744751)","(0.5340537279844284, 0.9746031701564789)","(0.5461172312498093, 0.9933821737766266)","(0.4691575139760971, 0.9933699607849121)","(0.5377411536872387, 0.9878876626491546)","(0.44787546545267104, 0.9911599457263947)","(0.4660805925726891, 0.917948716878891)","(0.480525042116642, 0.7988278448581696)","(0.40470086857676507, 0.5873870611190796)","(0.5419658184051513, 0.5308180838823319)","(0.54936508461833, 0.5144444584846497)",,,0.000 ,0.000 ,0.556 ,0.992 ,0.534 ,0.975 ,0.546 ,0.993 ,0.469 ,0.993 ,0.538 ,0.988 ,0.448 ,0.991 ,0.466 ,0.918 ,0.481 ,0.799 ,0.405 ,0.587 ,0.542 ,0.531 ,0.549 ,0.514 
